Atr_0	Atr_1	Atr_2	Atr_3	Atr_4	Atr_5	Atr_6	Atr_7	Atr_8	Atr_9	Nombre personaje
0	0	0	0	0	0	0	0	0	1	Personaje_1
0	0	0	1	0	0	0	1	1	1	Personaje_71
0	0	0	1	0	1	1	0	1	0	Personaje_90
0	0	0	1	0	1	1	0	1	1	Personaje_91
0	0	0	1	1	0	1	0	0	1	Personaje_105
0	0	1	0	0	1	0	0	1	0	Personaje_146
0	0	1	0	0	1	1	1	1	1	Personaje_159
0	0	1	1	0	0	0	0	1	0	Personaje_194
0	0	1	1	0	0	1	1	0	0	Personaje_204
0	0	1	1	0	1	0	0	0	0	Personaje_208
0	0	1	1	1	0	0	0	0	0	Personaje_224
0	1	0	0	1	0	0	1	1	0	Personaje_294
0	1	0	0	1	0	0	1	1	1	Personaje_295
0	1	1	0	1	0	1	1	1	1	Personaje_431
1	0	0	0	0	1	1	0	1	1	Personaje_539
1	0	0	0	1	1	0	0	0	1	Personaje_561
1	0	0	0	1	1	1	0	0	1	Personaje_569
1	0	0	1	1	1	1	1	1	0	Personaje_638
1	1	1	0	0	1	1	0	1	1	Personaje_923
1	1	1	1	0	0	0	1	1	1	Personaje_967
